date,action,ticker,name,value,contraticker,contraname,_ticker
2023-08-17,split,AAON,AAON INC,1.5,N/A,N/A,AAON
2014-07-17,split,AAON,AAON INC,1.5,N/A,N/A,AAON
2013-07-03,split,AAON,AAON INC,1.5,N/A,N/A,AAON
2011-06-14,split,AAON,AAON INC,1.5,N/A,N/A,AAON
2007-08-22,split,AAON,AAON INC,1.5,N/A,N/A,AAON
2002-06-05,split,AAON,AAON INC,1.5,N/A,N/A,AAON
2001-10-01,split,AAON,AAON INC,1.5,N/A,N/A,AAON
2005-09-26,split,AAP,ADVANCE AUTO PARTS INC,1.5,N/A,N/A,AAP
2004-01-05,split,AAP,ADVANCE AUTO PARTS INC,2,N/A,N/A,AAP
2020-08-31,split,AAPL,APPLE INC,4,N/A,N/A,AAPL
2014-06-09,split,AAPL,APPLE INC,7,N/A,N/A,AAPL
2005-02-28,split,AAPL,APPLE INC,2,N/A,N/A,AAPL
2000-06-21,split,AAPL,APPLE INC,2,N/A,N/A,AAPL
2005-03-11,split,ABCB,AMERIS BANCORP,1.2,N/A,N/A,ABCB
1999-12-13,split,ABCB,AMERIS BANCORP,1.2,N/A,N/A,ABCB
2002-05-07,split,ABM,ABM INDUSTRIES INC,2,N/A,N/A,ABM
1998-06-01,split,ABT,ABBOTT LABORATORIES,2,N/A,N/A,ABT
2018-06-21,split,ACGL,ARCH CAPITAL GROUP LTD,3,N/A,N/A,ACGL
2011-05-12,split,ACGL,ARCH CAPITAL GROUP LTD,3,N/A,N/A,ACGL
2011-11-01,split,ACHC,ACADIA HEALTHCARE COMPANY INC,1.7633,N/A,N/A,ACHC
2011-05-19,split,ACHC,ACADIA HEALTHCARE COMPANY INC,100000,N/A,N/A,ACHC
2020-06-18,split,ACI,ALBERTSONS COMPANIES INC,2.072,N/A,N/A,ACI
2014-07-11,split,ACIW,ACI WORLDWIDE INC,3,N/A,N/A,ACIW
2016-07-01,split,ACLS,AXCELIS TECHNOLOGIES INC,0.25,N/A,N/A,ACLS
2022-03-24,split,ACMR,ACM RESEARCH INC,3,N/A,N/A,ACMR
2005-05-24,split,ADBE,ADOBE INC,2,N/A,N/A,ADBE
2000-10-25,split,ADBE,ADOBE INC,2,N/A,N/A,ADBE
1999-10-27,split,ADBE,ADOBE INC,2,N/A,N/A,ADBE
2000-03-16,split,ADI,ANALOG DEVICES INC,2,N/A,N/A,ADI
1999-01-04,split,ADP,AUTOMATIC DATA PROCESSING INC,2,N/A,N/A,ADP
2004-12-21,split,ADSK,AUTODESK INC,2,N/A,N/A,ADSK
2002-04-19,split,ADSK,AUTODESK INC,2,N/A,N/A,ADSK
2006-12-19,split,AEO,AMERICAN EAGLE OUTFITTERS INC,1.5,N/A,N/A,AEO
2005-03-08,split,AEO,AMERICAN EAGLE OUTFITTERS INC,2,N/A,N/A,AEO
2001-02-26,split,AEO,AMERICAN EAGLE OUTFITTERS INC,1.5,N/A,N/A,AEO
1999-05-04,split,AEO,AMERICAN EAGLE OUTFITTERS INC,2,N/A,N/A,AEO
1998-05-11,split,AEO,AMERICAN EAGLE OUTFITTERS INC,1.5,N/A,N/A,AEO
1998-01-06,split,AEO,AMERICAN EAGLE OUTFITTERS INC,1.5,N/A,N/A,AEO
2000-06-02,split,AES,AES CORP,2,N/A,N/A,AES
2006-12-15,split,AFG,AMERICAN FINANCIAL GROUP INC,1.5,N/A,N/A,AFG
2018-03-19,split,AFL,AFLAC INC,2,N/A,N/A,AFL
2001-03-19,split,AFL,AFLAC INC,2,N/A,N/A,AFL
1998-06-09,split,AFL,AFLAC INC,2,N/A,N/A,AFL
2001-10-09,split,AGX,ARGAN INC,0.06667,N/A,N/A,AGX
2022-11-15,split,AHR,AMERICAN HEALTHCARE REIT INC,0.25,N/A,N/A,AHR
2009-07-01,split,AIG,AMERICAN INTERNATIONAL GROUP INC,0.05,N/A,N/A,AIG
2000-07-31,split,AIG,AMERICAN INTERNATIONAL GROUP INC,1.5,N/A,N/A,AIG
1999-08-02,split,AIG,AMERICAN INTERNATIONAL GROUP INC,1.25,N/A,N/A,AIG
1998-08-03,split,AIG,AMERICAN INTERNATIONAL GROUP INC,1.5,N/A,N/A,AIG
1998-02-24,split,AIR,AAR CORP,1.5,N/A,N/A,AIR
2006-06-15,split,AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,1.5,N/A,N/A,AIT
2004-12-20,split,AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,1.5,N/A,N/A,AIT
2004-02-04,split,AIZ,ASSURANT INC,13.159,N/A,N/A,AIZ
2001-01-19,split,AJG,ARTHUR J GALLAGHER & CO,2,N/A,N/A,AJG
2000-03-16,split,AJG,ARTHUR J GALLAGHER & CO,2,N/A,N/A,AJG
2007-03-02,split,ALB,ALBEMARLE CORP,2,N/A,N/A,ALB
2021-03-24,split,ALHC,ALIGNMENT HEALTHCARE INC,260,N/A,N/A,ALHC
2014-07-10,split,ALK,ALASKA AIR GROUP INC,2,N/A,N/A,ALK
2012-03-19,split,ALK,ALASKA AIR GROUP INC,2,N/A,N/A,ALK
1998-07-02,split,ALL,ALLSTATE CORP,2,N/A,N/A,ALL
2014-04-09,split,ALLY,ALLY FINANCIAL INC,310,N/A,N/A,ALLY
2002-04-17,split,AMAT,APPLIED MATERIALS INC,2,N/A,N/A,AMAT
2000-03-16,split,AMAT,APPLIED MATERIALS INC,2,N/A,N/A,AMAT
2026-01-15,split,AMCR,AMCOR PLC,0.2,N/A,N/A,AMCR
2000-08-22,split,AMD,ADVANCED MICRO DEVICES INC,2,N/A,N/A,AMD
2012-07-02,split,AME,AMETEK INC,1.5,N/A,N/A,AME
2010-12-22,split,AME,AMETEK INC,1.5,N/A,N/A,AME
2006-11-28,split,AME,AMETEK INC,1.5,N/A,N/A,AME
2004-03-01,split,AME,AMETEK INC,2,N/A,N/A,AME
2004-03-30,split,AMG,AFFILIATED MANAGERS GROUP INC,1.5,N/A,N/A,AMG
1999-11-22,split,AMGN,AMGEN INC,2,N/A,N/A,AMGN
1999-03-01,split,AMGN,AMGEN INC,2,N/A,N/A,AMGN
2022-06-06,split,AMZN,AMAZON COM INC,20,N/A,N/A,AMZN
1999-09-02,split,AMZN,AMAZON COM INC,2,N/A,N/A,AMZN
1999-01-05,split,AMZN,AMAZON COM INC,3,N/A,N/A,AMZN
1998-06-02,split,AMZN,AMAZON COM INC,2,N/A,N/A,AMZN
2014-02-19,split,ANDE,ANDERSONS INC,1.5,N/A,N/A,ANDE
2006-06-29,split,ANDE,ANDERSONS INC,2,N/A,N/A,ANDE
2024-12-04,split,ANET,ARISTA NETWORKS INC,4,N/A,N/A,ANET
2021-11-18,split,ANET,ARISTA NETWORKS INC,4,N/A,N/A,ANET
1999-06-16,split,ANF,ABERCROMBIE & FITCH CO,2,N/A,N/A,ANF
1999-05-18,split,AON,AON PLC,1.5,N/A,N/A,AON
2016-10-06,split,AOS,SMITH A O CORP,2,N/A,N/A,AOS
2013-05-16,split,AOS,SMITH A O CORP,2,N/A,N/A,AOS
2010-11-16,split,AOS,SMITH A O CORP,1.5,N/A,N/A,AOS
1998-08-18,split,AOS,SMITH A O CORP,1.5,N/A,N/A,AOS
2004-01-15,split,APA,APA CORP,2,N/A,N/A,APA
1998-06-16,split,APD,AIR PRODUCTS & CHEMICALS INC,2,N/A,N/A,APD
2025-07-01,split,APG,API GROUP CORP,1.5,N/A,N/A,APG
2026-09-03,split,APH,AMPHENOL CORP,2,N/A,N/A,APH
2024-06-12,split,APH,AMPHENOL CORP,2,N/A,N/A,APH
2021-03-05,split,APH,AMPHENOL CORP,2,N/A,N/A,APH
2014-10-10,split,APH,AMPHENOL CORP,2,N/A,N/A,APH
2007-04-02,split,APH,AMPHENOL CORP,2,N/A,N/A,APH
2004-03-30,split,APH,AMPHENOL CORP,2,N/A,N/A,APH
2000-04-26,split,APH,AMPHENOL CORP,2,N/A,N/A,APH
2015-05-18,split,APLE,APPLE HOSPITALITY REIT INC,0.5,N/A,N/A,APLE
2023-10-02,split,ARR,ARMOUR RESIDENTIAL REIT INC,0.2,N/A,N/A,ARR
2015-08-03,split,ARR,ARMOUR RESIDENTIAL REIT INC,0.125,N/A,N/A,ARR
2011-11-17,split,ARWR,ARROWHEAD PHARMACEUTICALS INC,0.1,N/A,N/A,ARWR
2004-01-15,split,ARWR,ARROWHEAD PHARMACEUTICALS INC,0.01538,N/A,N/A,ARWR
2004-05-13,split,ASB,ASSOCIATED BANC-CORP,1.5,N/A,N/A,ASB
1998-06-15,split,ASB,ASSOCIATED BANC-CORP,1.25,N/A,N/A,ASB
2020-10-01,split,ASO,ACADEMY SPORTS & OUTDOORS INC,0.31746,N/A,N/A,ASO
1999-12-02,split,ATI,ATI INC,0.5,N/A,N/A,ATI
2007-05-10,split,ATR,APTARGROUP INC,2,N/A,N/A,ATR
1998-08-26,split,ATR,APTARGROUP INC,2,N/A,N/A,ATR
2006-10-16,split,AUB,ATLANTIC UNION BANKSHARES CORP,1.5,N/A,N/A,AUB
1998-06-02,split,AUB,ATLANTIC UNION BANKSHARES CORP,2,N/A,N/A,AUB
2024-07-15,split,AVGO,BROADCOM INC,10,N/A,N/A,AVGO
2000-09-29,split,AVT,AVNET INC,2,N/A,N/A,AVT
2013-09-04,split,AWR,AMERICAN STATES WATER CO,2,N/A,N/A,AWR
2002-06-10,split,AWR,AMERICAN STATES WATER CO,1.5,N/A,N/A,AWR
2015-11-18,split,AX,AXOS FINANCIAL INC,4,N/A,N/A,AX
2004-11-30,split,AXON,AXON ENTERPRISE INC,2,N/A,N/A,AXON
2004-04-30,split,AXON,AXON ENTERPRISE INC,2,N/A,N/A,AXON
2004-02-11,split,AXON,AXON ENTERPRISE INC,3,N/A,N/A,AXON
2000-05-11,split,AXP,AMERICAN EXPRESS CO,3,N/A,N/A,AXP
2012-07-31,split,AZZ,AZZ INC,2,N/A,N/A,AZZ
2007-05-07,split,AZZ,AZZ INC,2,N/A,N/A,AZZ
2004-08-30,split,BAC,BANK OF AMERICA CORP,2,N/A,N/A,BAC
2017-05-17,split,BALL,BALL CORP,2,N/A,N/A,BALL
2011-02-16,split,BALL,BALL CORP,2,N/A,N/A,BALL
2004-08-24,split,BALL,BALL CORP,2,N/A,N/A,BALL
2002-02-25,split,BALL,BALL CORP,2,N/A,N/A,BALL
2017-08-01,split,BANF,BANCFIRST CORP,2,N/A,N/A,BANF
2006-03-02,split,BANF,BANCFIRST CORP,2,N/A,N/A,BANF
2011-06-01,split,BANR,BANNER CORP,0.14286,N/A,N/A,BANR
2001-05-31,split,BAX,BAXTER INTERNATIONAL INC,2,N/A,N/A,BAX
2000-05-31,split,BBWI,BATH & BODY WORKS INC,2,N/A,N/A,BBWI
2005-08-04,split,BBY,BEST BUY CO INC,1.5,N/A,N/A,BBY
2002-05-13,split,BBY,BEST BUY CO INC,1.5,N/A,N/A,BBY
1999-03-19,split,BBY,BEST BUY CO INC,2,N/A,N/A,BBY
1998-05-27,split,BBY,BEST BUY CO INC,2,N/A,N/A,BBY
2010-01-21,split,BCPC,BALCHEM CORP,1.5,N/A,N/A,BCPC
2007-01-22,split,BCPC,BALCHEM CORP,1.5,N/A,N/A,BCPC
2006-01-23,split,BCPC,BALCHEM CORP,1.5,N/A,N/A,BCPC
2005-01-21,split,BCPC,BALCHEM CORP,1.5,N/A,N/A,BCPC
1998-06-04,split,BCPC,BALCHEM CORP,1.5,N/A,N/A,BCPC
2004-07-16,split,BDC,BELDEN INC,0.5,N/A,N/A,BDC
2000-08-22,split,BDC,BELDEN INC,1.5,N/A,N/A,BDC
1998-01-12,split,BDC,BELDEN INC,1.5,N/A,N/A,BDC
1998-08-21,split,BDX,BECTON DICKINSON & CO,2,N/A,N/A,BDX
2013-07-26,split,BEN,FRANKLIN RESOURCES INC,3,N/A,N/A,BEN
1998-01-16,split,BEN,FRANKLIN RESOURCES INC,2,N/A,N/A,BEN
2018-02-28,split,BF.B,BROWN FORMAN CORP,1.25,N/A,N/A,BF.B
2016-08-19,split,BF.B,BROWN FORMAN CORP,2,N/A,N/A,BF.B
2012-08-13,split,BF.B,BROWN FORMAN CORP,1.5,N/A,N/A,BF.B
2008-10-28,split,BF.B,BROWN FORMAN CORP,1.25,N/A,N/A,BF.B
2004-01-21,split,BF.B,BROWN FORMAN CORP,2,N/A,N/A,BF.B
2006-04-03,split,BHE,BENCHMARK ELECTRONICS INC,1.5,N/A,N/A,BHE
2003-11-14,split,BHE,BENCHMARK ELECTRONICS INC,1.5,N/A,N/A,BHE
2001-01-18,split,BIIB,BIOGEN INC,3,N/A,N/A,BIIB
1999-12-21,split,BIIB,BIOGEN INC,2,N/A,N/A,BIIB
2002-03-08,split,BIO,BIO-RAD LABORATORIES INC,2,N/A,N/A,BIO
2008-10-31,split,BKE,BUCKLE INC,1.5,N/A,N/A,BKE
2007-01-16,split,BKE,BUCKLE INC,1.5,N/A,N/A,BKE
1998-06-09,split,BKE,BUCKLE INC,1.5,N/A,N/A,BKE
1998-03-11,split,BKH,BLACK HILLS CORP,1.5,N/A,N/A,BKH
2026-04-06,split,BKNG,BOOKING HOLDINGS INC,25,N/A,N/A,BKNG
2003-06-16,split,BKNG,BOOKING HOLDINGS INC,0.16667,N/A,N/A,BKNG
2016-09-16,split,BMI,BADGER METER INC,2,N/A,N/A,BMI
2006-06-16,split,BMI,BADGER METER INC,2,N/A,N/A,BMI
2004-12-13,split,BMI,BADGER METER INC,2,N/A,N/A,BMI
1999-03-01,split,BMY,BRISTOL MYERS SQUIBB CO,2,N/A,N/A,BMY
2020-09-09,split,BNL,BROADSTONE NET LEASE INC,4,N/A,N/A,BNL
1998-08-14,split,BNY,BANK OF NEW YORK MELLON CORP,2,N/A,N/A,BNY
2005-01-03,split,BRC,BRADY CORP,2,N/A,N/A,BRC
2010-01-21,split,BRK.B,BERKSHIRE HATHAWAY INC,50,N/A,N/A,BRK.B
2018-03-29,split,BRO,BROWN & BROWN INC,2,N/A,N/A,BRO
2005-11-29,split,BRO,BROWN & BROWN INC,2,N/A,N/A,BRO
2001-11-23,split,BRO,BROWN & BROWN INC,2,N/A,N/A,BRO
2000-08-24,split,BRO,BROWN & BROWN INC,2,N/A,N/A,BRO
1998-03-02,split,BRO,BROWN & BROWN INC,1.5,N/A,N/A,BRO
2003-11-06,split,BSX,BOSTON SCIENTIFIC CORP,2,N/A,N/A,BSX
1998-12-01,split,BSX,BOSTON SCIENTIFIC CORP,2,N/A,N/A,BSX
2024-01-25,split,BTSG,BRIGHTSPRING HEALTH SERVICES INC,15.7027,N/A,N/A,BTSG
2013-12-17,split,BWA,BORGWARNER INC,2,N/A,N/A,BWA
2007-12-18,split,BWA,BORGWARNER INC,2,N/A,N/A,BWA
2004-05-18,split,BWA,BORGWARNER INC,2,N/A,N/A,BWA
